warmup,explore_prob,pattern,load,flowsize,mean_delta_pct,p99_delta_pct,rtx_pct
2,20,permutation_random,0.8,100000,1.117,3.483,0.000
2,20,permutation_random,0.8,2000000,-2.957,-3.569,0.333
2,20,permutation_random,0.9,100000,1.555,2.484,0.000
2,20,permutation_random,0.9,2000000,-2.610,-5.080,0.436
2,40,tornado,0.25,100000,0.308,0.221,0.000
2,40,tornado,0.25,2000000,2.012,1.917,0.171
2,40,tornado,0.5,100000,1.248,2.837,0.000
2,40,tornado,0.5,2000000,6.440,8.783,2.121
2,40,tornado,0.75,100000,1.616,3.536,0.000
2,40,tornado,0.75,2000000,1.593,-7.852,2.757
2,40,tornado,1.0,100000,1.266,3.528,0.000
2,40,tornado,1.0,2000000,-4.443,1.476,2.514
2,40,permutation_random,0.6,100000,0.683,0.539,0.000
2,40,permutation_random,0.6,2000000,-4.600,-4.150,0.005
2,40,permutation_random,0.7,100000,1.573,3.697,0.000
2,40,permutation_random,0.7,2000000,-3.050,-3.115,0.170
2,40,permutation_random,0.8,100000,1.117,3.483,0.000
2,40,permutation_random,0.8,2000000,-2.241,-0.845,0.317
2,40,permutation_random,0.9,100000,1.555,2.484,0.000
2,40,permutation_random,0.9,2000000,-2.014,-2.803,0.442
2,70,tornado,0.25,100000,0.308,0.221,0.000
2,70,tornado,0.25,2000000,-0.046,-1.879,0.000
2,70,tornado,0.5,100000,1.248,2.837,0.000
2,70,tornado,0.5,2000000,2.622,4.624,0.273
2,70,tornado,0.75,100000,1.616,3.536,0.000
2,70,tornado,0.75,2000000,0.233,1.335,1.160
2,70,tornado,1.0,100000,1.266,3.528,0.000
2,70,tornado,1.0,2000000,-1.309,1.386,1.507
2,70,permutation_random,0.6,100000,0.683,0.539,0.000
2,70,permutation_random,0.6,2000000,-2.897,-2.057,0.016
2,70,permutation_random,0.7,100000,1.573,3.697,0.000
2,70,permutation_random,0.7,2000000,-1.366,1.327,0.187
2,70,permutation_random,0.8,100000,1.117,3.483,0.000
2,70,permutation_random,0.8,2000000,-0.647,2.450,0.338
2,70,permutation_random,0.9,100000,1.555,2.484,0.000
2,70,permutation_random,0.9,2000000,-0.948,1.165,0.442
4,0,tornado,0.25,100000,0.308,0.221,0.000
4,0,tornado,0.25,2000000,6.698,9.058,1.657
4,0,tornado,0.5,100000,1.248,2.837,0.000
4,0,tornado,0.5,2000000,15.045,20.249,4.276
4,0,tornado,0.75,100000,1.616,3.536,0.000
4,0,tornado,0.75,2000000,5.014,-9.456,4.385
4,0,tornado,1.0,100000,1.266,3.528,0.000
4,0,tornado,1.0,2000000,-0.369,-5.352,4.486
4,0,permutation_random,0.6,100000,0.683,0.539,0.000
4,0,permutation_random,0.6,2000000,-2.194,-2.210,0.063
4,0,permutation_random,0.7,100000,1.573,3.697,0.000
4,0,permutation_random,0.7,2000000,-2.867,-4.852,0.228
4,0,permutation_random,0.8,100000,1.117,3.483,0.000
4,0,permutation_random,0.8,2000000,-2.936,-6.712,0.425
4,0,permutation_random,0.9,100000,1.555,2.484,0.000
4,0,permutation_random,0.9,2000000,-3.335,-2.752,0.546
4,20,tornado,0.25,100000,0.308,0.221,0.000
4,20,tornado,0.25,2000000,3.655,3.687,0.719
4,20,tornado,0.5,100000,1.248,2.837,0.000
4,20,tornado,0.5,2000000,9.900,14.883,3.244
4,20,tornado,0.75,100000,1.616,3.536,0.000
4,20,tornado,0.75,2000000,3.232,-9.277,3.597
4,20,tornado,1.0,100000,1.266,3.528,0.000
4,20,tornado,1.0,2000000,-0.729,-2.561,3.806
4,20,permutation_random,0.6,100000,0.683,0.539,0.000
4,20,permutation_random,0.6,2000000,-3.666,-2.779,0.052
4,20,permutation_random,0.7,100000,1.573,3.697,0.000
