sweep,x,pattern,load,flowsize,mean,p99,mean_delta_pct,p99_delta_pct,rtx_rate_pct,nack_rate_pct,ref_rtx_rate_pct,ref_nack_rate_pct
warmup_rtts,4,permutation,0.9,500000,92.20,100.10,1.3706000931450724,2.461118107533525,4.489,4.489,1.499,1.499
warmup_rtts,4,tornado,0.25,500000,55.47,59.07,0.23622177777738285,1.2099761203202213,0.000,0.000,0.000,0.000
warmup_rtts,4,tornado,0.5,500000,67.87,79.44,7.358736374792124,11.129069412825702,0.061,0.061,0.000,0.000
warmup_rtts,4,tornado,0.75,500000,81.36,89.45,-0.9398520357278491,0.1613848943888255,1.032,1.032,0.279,0.279
warmup_rtts,4,tornado,1.0,500000,99.19,108.17,0.812681940167232,4.2376665049931415,15.948,15.948,2.340,2.340
warmup_rtts,8,permutation,0.6,500000,74.34,84.22,6.4218557656646205,9.621755911989197,0.345,0.345,0.020,0.020
warmup_rtts,8,permutation,0.7,500000,81.39,89.12,5.390189654343182,5.091664105045596,1.026,1.026,0.206,0.206
warmup_rtts,8,permutation,0.8,500000,87.98,96.35,4.086653146065076,5.563081085443959,1.988,1.988,0.749,0.749
warmup_rtts,8,permutation,0.9,500000,95.06,102.55,4.516621711675894,4.96430573520496,3.395,3.395,1.499,1.499
warmup_rtts,8,tornado,0.25,500000,55.47,59.07,0.23622177777738285,1.2099761203202213,0.000,0.000,0.000,0.000
warmup_rtts,8,tornado,0.5,500000,67.88,79.37,7.382903173971752,11.039863388411325,0.061,0.061,0.000,0.000
warmup_rtts,8,tornado,0.75,500000,85.94,93.76,4.637637508674298,4.984979336090016,1.145,1.145,0.279,0.279
warmup_rtts,8,tornado,1.0,500000,103.39,110.61,5.081469616352457,6.589213270933771,4.441,4.441,2.340,2.340
