threshold_frac,threshold_bytes,pattern,load,fs,seed,mean,p99,rtx_pct
0.1,20750,tornado,0.75,2000000,2,263.65014303030273,494.027,2.06134817563389
0.1,20750,tornado,0.75,2000000,3,263.8598133333333,597.714,2.042795299938157
0.25,51875,tornado,0.75,2000000,1,284.9710896969697,612.9,0.941991341991342
0.25,51875,tornado,0.75,2000000,2,287.5872800000006,555.295,1.0147186147186147
0.25,51875,tornado,0.75,2000000,3,285.61881454545477,636.373,1.0421768707482992
0.5,103750,tornado,0.75,2000000,1,334.89406303030296,717.358,0.6738404452690167
0.5,103750,tornado,0.75,2000000,2,342.5314230303033,690.135,0.6914038342609771
0.5,103750,tornado,0.75,2000000,3,338.36349090909107,697.98,0.6530612244897959
0.75,155625,tornado,0.75,2000000,1,448.57745333333315,1371.86,0.6285714285714286
0.75,155625,tornado,0.75,2000000,2,466.6665054545453,1204.14,0.610513296227582
0.75,155625,tornado,0.75,2000000,3,452.51028000000036,1090.37,0.5689548546691404
0.9,186750,tornado,0.75,2000000,1,533.6021878787877,1561.11,0.6181818181818182
0.9,186750,tornado,0.75,2000000,2,559.6157260606061,1492.88,0.5763760049474336
0.9,186750,tornado,0.75,2000000,3,546.2009284848489,1318.99,0.5813234384662956
0.1,20750,tornado,0.75,10000000,1,1260.6664739393946,2998.15,0.5714993067934244
0.1,20750,tornado,0.75,10000000,2,1284.6197915151515,2641.51,0.5493166963755199
0.1,20750,tornado,0.75,10000000,3,1275.962706666666,3047.68,0.5384234501881561
0.25,51875,tornado,0.75,10000000,1,1357.1203709090894,3173.44,0.20627847098435334
0.25,51875,tornado,0.75,10000000,2,1377.7856230303025,2880.99,0.21657754010695188
0.25,51875,tornado,0.75,10000000,3,1362.6902787878798,3219.84,0.22648049118637353
0.5,103750,tornado,0.75,10000000,1,1495.0521442424251,3248.73,0.13557140027728262
0.5,103750,tornado,0.75,10000000,2,1536.57152,3149.2,0.1383937413349178
0.5,103750,tornado,0.75,10000000,3,1520.7515381818182,3395.94,0.13091701326995445
0.75,155625,tornado,0.75,10000000,1,2776.209044848486,10011.8,0.12576747870865518
0.75,155625,tornado,0.75,10000000,2,2883.37854787879,7254.01,0.12215290156466627
0.75,155625,tornado,0.75,10000000,3,2864.940852121214,7997.19,0.11388393741334918
0.9,186750,tornado,0.75,10000000,1,4326.944052121211,10063.9,0.12373737373737374
0.9,186750,tornado,0.75,10000000,2,4530.771717575756,11606.8,0.11531986531986532
0.9,186750,tornado,0.75,10000000,3,4330.767021818182,10295.1,0.1163101604278075
0.1,20750,tornado,1.0,100000,1,30.953523727272756,36.517,0.04727272727272727
0.1,20750,tornado,1.0,100000,2,30.92592918181817,36.7866,0.20727272727272728
0.1,20750,tornado,1.0,100000,3,31.01995863636363,36.5496,0.14181818181818182
0.25,51875,tornado,1.0,100000,1,30.390211454545437,40.9237,0.05454545454545454
0.25,51875,tornado,1.0,100000,2,30.386496636363642,40.5866,0.0
0.25,51875,tornado,1.0,100000,3,30.491754181818205,39.3155,0.0
0.5,103750,tornado,1.0,100000,1,32.3102209090909,45.3776,0.12363636363636364
0.5,103750,tornado,1.0,100000,2,32.39450454545454,42.1366,0.05090909090909091
0.5,103750,tornado,1.0,100000,3,32.485976818181776,45.9088,0.0036363636363636364
0.75,155625,tornado,1.0,100000,1,36.21823636363634,46.3616,0.09818181818181818
0.75,155625,tornado,1.0,100000,2,36.26372854545455,45.1296,0.007272727272727273
0.75,155625,tornado,1.0,100000,3,36.503380181818166,47.251,0.0
0.9,186750,tornado,1.0,100000,1,40.11153490909096,49.9066,1.3709090909090909
0.9,186750,tornado,1.0,100000,2,40.15481572727275,49.5797,1.3381818181818181
0.9,186750,tornado,1.0,100000,3,40.162000909090885,50.5824,1.1490909090909092
0.1,20750,tornado,1.0,500000,1,90.46994890909096,118.475,13.719881744271989
0.1,20750,tornado,1.0,500000,2,90.45210154545448,114.978,13.364375461936438
0.1,20750,tornado,1.0,500000,3,90.26543290909109,116.379,13.7620103473762
0.25,51875,tornado,1.0,500000,1,93.01470509090903,136.227,8.29120473022912
0.25,51875,tornado,1.0,500000,2,93.09140936363639,136.149,8.185513673318551
0.25,51875,tornado,1.0,500000,3,93.14183127272732,127.29,8.41980783444198
0.5,103750,tornado,1.0,500000,1,99.26307763636372,167.043,2.3976348854397633
0.5,103750,tornado,1.0,500000,2,99.8712466363635,161.115,2.9386548410938653
0.5,103750,tornado,1.0,500000,3,100.60983818181822,167.612,2.85070214338507
0.75,155625,tornado,1.0,500000,1,103.56488009090927,183.107,2.4855875831485585
0.75,155625,tornado,1.0,500000,2,104.35233545454561,171.994,2.4781966001478195
0.75,155625,tornado,1.0,500000,3,105.16570954545458,186.281,2.632668144863267
0.9,186750,tornado,1.0,500000,1,105.81131663636359,184.239,2.582409460458241
0.9,186750,tornado,1.0,500000,2,107.22980309090899,182.425,2.526237989652624
0.9,186750,tornado,1.0,500000,3,107.89680990909092,196.666,2.505543237250554
0.1,20750,tornado,1.0,2000000,1,316.3914709090908,566.047,5.19443413729128
0.1,20750,tornado,1.0,2000000,2,315.9157463636363,554.882,5.248794063079777
0.1,20750,tornado,1.0,2000000,3,319.0114981818186,547.96,5.32504638218924
0.25,51875,tornado,1.0,2000000,1,327.7821654545456,628.298,2.7400742115027827
0.25,51875,tornado,1.0,2000000,2,329.59655454545475,606.7,2.8257884972170686
0.25,51875,tornado,1.0,2000000,3,331.844306363637,645.359,2.8358070500927646
0.5,103750,tornado,1.0,2000000,1,385.0159509090908,761.488,0.4849721706864564
0.5,103750,tornado,1.0,2000000,2,391.4024090909095,748.427,0.6024118738404453
0.5,103750,tornado,1.0,2000000,3,392.25396909090904,749.147,0.6137291280148423
0.75,155625,tornado,1.0,2000000,1,591.541174545455,1635.78,0.5159554730983302
0.75,155625,tornado,1.0,2000000,2,584.7447509090911,1640.74,0.5332096474953618
0.75,155625,tornado,1.0,2000000,3,643.1538100000004,1802.75,0.6
0.9,186750,tornado,1.0,2000000,1,738.9097827272735,1821.77,0.5662337662337662
0.9,186750,tornado,1.0,2000000,2,793.0334445454531,2061.67,0.5640074211502782
0.9,186750,tornado,1.0,2000000,3,850.0431736363641,2306.03,0.5764378478664193
0.1,20750,tornado,1.0,10000000,1,1509.4192681818201,2957.51,1.7076648841354725
0.1,20750,tornado,1.0,10000000,2,1510.0774245454547,2810.43,1.737410873440285
0.1,20750,tornado,1.0,10000000,3,1527.5105790909108,2933.2,1.8693924539512774
0.25,51875,tornado,1.0,10000000,1,1575.7598909090896,3262.85,0.735034165181224
0.25,51875,tornado,1.0,10000000,2,1588.3642190909077,3214.69,0.7752153891859774
0.25,51875,tornado,1.0,10000000,3,1601.998118181818,3433.62,0.779931669637552
0.5,103750,tornado,1.0,10000000,1,1723.1768481818187,3402.98,0.09707367795603089
0.5,103750,tornado,1.0,10000000,2,1771.8417418181816,3482.0,0.12117498514557339
0.5,103750,tornado,1.0,10000000,3,1787.6058281818164,3674.7,0.12284610814022578
0.75,155625,tornado,1.0,10000000,1,2974.1156518181824,10409.1,0.10327540106951871
0.75,155625,tornado,1.0,10000000,2,3081.466283636364,10488.6,0.10672905525846703
0.75,155625,tornado,1.0,10000000,3,3842.5436563636395,11924.1,0.12009803921568628
0.9,186750,tornado,1.0,10000000,1,4979.897802727275,11739.1,0.11341354723707665
0.9,186750,tornado,1.0,10000000,2,5584.705932727277,13349.6,0.11289364230540701
0.9,186750,tornado,1.0,10000000,3,6067.378393636361,15537.8,0.11534462269756388
