pattern,nodes,size,strat_label,strat,load_balancing_algo,extra_flags,load_fraction,flowsize,seed,duration_s,n_flows,fct_mean,fct_p50,fct_p99,fct_max,fct_min,new,rtx,rts,bounced,acks,nacks,pulls,sleek_pkts,rtx_rate_pct,rts_rate_pct,nack_rate_pct,bounced_rate_pct
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,2000000,1,10.98,1100,1651.4293063636367,1592.21,3038.29,3145.82,489.438,539000,47969,0,0,517180,47969,0,0,8.899628942486085,0.0,8.899628942486085,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,2000000,2,61.08,1100,1668.2134490909089,1586.26,2885.47,3663.82,471.351,539000,42111,554,0,398938,41094,0,0,7.8128014842300555,0.10278293135435992,7.624118738404452,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,2000000,2,80.68,1100,1648.48267090909,1574.0,2825.96,3023.23,432.187,539000,46177,811,0,432317,44612,0,0,8.567161410018553,0.15046382189239332,8.276808905380333,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,2000000,2,108.54,1100,1563.9929836363617,1524.87,2788.68,2969.15,296.516,539000,45340,700,0,483320,43481,0,0,8.411873840445269,0.12987012987012986,8.066975881261596,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,2000000,2,108.08,1100,1522.588686363636,1527.71,2747.79,3835.51,282.419,539000,47208,727,0,513873,44413,0,0,8.75844155844156,0.13487940630797773,8.239888682745825,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,2000000,2,129.07,1100,1467.0875490909077,1434.5,2813.07,2949.45,264.68,539000,59255,695,0,517974,56339,0,0,10.993506493506494,0.12894248608534323,10.452504638218924,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,2000000,2,10.89,1100,1676.0717909090906,1659.31,3402.87,3597.84,546.302,539000,48116,0,0,517938,48116,0,0,8.926901669758813,0.0,8.926901669758813,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,2000000,3,111.32,1100,1696.9277245454532,1663.03,2916.74,4186.5,491.186,539000,42647,630,0,398578,41226,0,0,7.912244897959184,0.11688311688311688,7.64860853432282,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,2000000,3,158.5,1100,1718.0548672727264,1653.79,2844.29,62721.9,372.345,539000,47009,1193,0,428590,44552,0,0,8.72152133580705,0.22133580705009276,8.265677179962895,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,2000000,3,187.98,1100,1608.1041990909089,1594.7,2878.85,15402.9,243.089,539000,45897,795,0,480126,43374,0,0,8.5152133580705,0.14749536178107606,8.047124304267161,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,2000000,3,186.35,1100,1537.526765454547,1566.68,2782.96,3962.51,249.569,539000,47398,713,0,508683,44269,0,0,8.793692022263452,0.13228200371057514,8.21317254174397,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,2000000,3,218.13,1100,1483.2584799999975,1487.39,2829.29,2955.06,256.433,539000,59343,632,0,512442,56148,0,0,11.009833024118738,0.11725417439703154,10.417068645640073,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,2000000,3,12.37,1100,1633.877526363634,1603.81,2674.64,2972.24,324.769,539000,48073,0,0,517222,48073,0,0,8.918923933209648,0.0,8.918923933209648,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,2000000,4,81.88,1100,1669.774996363636,1652.82,2638.24,5538.88,353.746,539000,41767,556,0,397977,40522,0,0,7.748979591836735,0.10315398886827458,7.517996289424861,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,2000000,4,170.33,1099,1701.9544149226572,1652.13,2622.59,65531.9,353.767,538929,48675,1680,0,431166,44676,0,0,9.031801962781739,0.3117293743702788,8.289774719861057,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,2000000,4,131.69,1100,1567.057672727273,1599.39,2551.23,15589.4,282.037,539000,45741,723,0,481202,43427,0,0,8.486270871985157,0.13413729128014842,8.0569573283859,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,2000000,4,164.13,1100,1515.020462727271,1575.31,2533.3,3843.33,252.404,539000,47138,693,0,510113,44330,0,0,8.745454545454546,0.12857142857142856,8.224489795918368,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,2000000,4,175.38,1100,1458.0303672727277,1477.49,2566.47,3035.14,209.74,539000,59052,633,0,516090,56010,0,0,10.955844155844156,0.11743970315398887,10.391465677179962,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,2000000,4,11.97,1100,1649.3330327272727,1695.14,2901.54,3116.3,331.271,539000,48004,0,0,517499,48004,0,0,8.906122448979591,0.0,8.906122448979591,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,2000000,5,77.91,1100,1680.6875281818195,1659.96,2857.5,3994.1,604.359,539000,42024,558,0,399109,40816,0,0,7.796660482374768,0.10352504638218923,7.572541743970316,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,2000000,5,155.15,1100,1778.5538654545435,1640.63,2798.79,76838.4,524.612,539000,47682,1502,0,430570,44497,0,0,8.846382189239332,0.27866419294990724,8.255473098330242,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,2000000,5,137.92,1100,1579.9434427272727,1595.52,2795.51,6634.06,245.226,539000,45826,708,0,479991,43448,0,0,8.50204081632653,0.1313543599257885,8.060853432282004,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,2000000,5,140.46,1100,1532.0335363636352,1584.28,2765.15,4431.3,217.282,539000,47173,651,0,511771,44361,0,0,8.751948051948052,0.12077922077922078,8.230241187384044,0.0
tornado,1100,m,fpar_tq24,fpar,oblivious,-target_q_delay 24,1.0,2000000,5,162.15,1100,1475.104153636362,1480.38,2768.12,3186.88,207.255,539000,58879,637,0,514160,55971,0,0,10.923747680890537,0.11818181818181818,10.384230055658627,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,2000000,5,10.04,1100,1597.6066263636374,1597.85,2467.54,2673.93,487.986,539000,48031,0,0,516651,48031,0,0,8.91113172541744,0.0,8.91113172541744,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,10000000,1,295.74,1100,8832.233781818173,8370.09,18005.2,18338.9,2491.85,2692800,58047,2913,0,1992722,54084,0,0,2.155637254901961,0.10817736185383245,2.0084670231729054,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,10000000,1,394.8,1099,8693.509836214744,8201.47,17686.0,18024.1,1954.78,2691001,67297,5020,0,2181370,60131,0,0,2.500816610621847,0.1865476824423328,2.2345216519800624,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,10000000,1,461.75,1100,8351.212381818184,8053.15,17668.1,33110.9,1159.4,2692800,50621,3001,0,2489975,44720,0,0,1.8798648247177658,0.11144533571004159,1.6607248960190137,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,10000000,1,46.93,1100,8331.543727272723,8016.25,15182.4,15471.9,2337.08,2692800,47973,0,0,2645532,47973,0,0,1.7815285204991087,0.0,1.7815285204991087,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,10000000,2,236.5,1100,8677.978818181806,8350.89,14583.4,15110.5,2388.36,2692800,49493,2831,0,1991342,45928,0,0,1.8379753416518123,0.10513220439691028,1.7055852644087939,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,10000000,2,256.99,1100,8530.205454545454,8167.58,14437.5,14776.6,2334.85,2692800,63515,4141,0,2187463,58114,0,0,2.358697266785502,0.1537804515745692,2.1581253713606654,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,10000000,2,297.56,1100,8258.490354545449,8034.26,14138.5,14668.8,1684.91,2692800,48168,2409,0,2502004,43989,0,0,1.7887700534759359,0.08946078431372549,1.633578431372549,0.0
tornado,1100,m,fpar_tq12,fpar,oblivious,-target_q_delay 12,1.0,10000000,2,763.79,1100,7130.858645454546,7059.79,13728.7,15123.9,1110.67,2692800,58180,5075,0,2589510,45251,0,0,2.1605763517528223,0.1884655377302436,1.680444147355912,0.0
tornado,1100,m,reps_dfp_best,reps_dfp,reps,-reps_partition_entropy,1.0,10000000,2,45.76,1100,8442.59929090909,8412.47,17198.1,17908.4,2311.42,2692800,48124,0,0,2645729,48124,0,0,1.7871360665478313,0.0,1.7871360665478313,0.0
tornado,1100,m,fpar_tq1,fpar,oblivious,-target_q_delay 1,1.0,10000000,3,419.43,1100,8788.198627272728,8749.02,14607.5,18993.7,2519.38,2692800,51129,3128,0,1992422,46631,0,0,1.8987299465240641,0.11616161616161616,1.7316919191919191,0.0
tornado,1100,m,fpar_tq3,fpar,oblivious,-target_q_delay 3,1.0,10000000,3,486.19,1100,8688.854381818186,8624.87,14555.7,72483.5,2138.45,2692800,65070,5004,0,2174478,58124,0,0,2.4164438502673797,0.1858288770053476,2.1584967320261437,0.0
tornado,1100,m,fpar_tq6,fpar,oblivious,-target_q_delay 6,1.0,10000000,3,656.36,1100,8231.944618181818,8120.66,14341.3,24420.2,1222.63,2692800,51050,3607,0,2480215,44016,0,0,1.8957961972667856,0.13394979203802734,1.6345811051693404,0.0
